w,w_part_of_speech,w_romaji,w_meaning,s_kanji,s_hiragana,s_romaji,s_meaning
教育,kyouiku,Verbal Noun,education,彼 は 海外 で 教育 を 受けました 。,かれ は かいがい で きょういく を うけました。,kare ha kaigai de kyouiku wo ukemashita.,He received his education abroad.
教育,kyouiku,Verbal Noun,education,うち に は 子供 の 教育 に 使える お金 が あまり ありません 。,うち に は こども の きょういく に つかえる おかね が あまり ありません。,uchi ni ha kodomo no kyouiku ni tsukaeru okane ga amari arimasen.,We don't have much money to spend on our children's education.
工事,kouji,Verbal Noun,"construction, repairing",工事 の 音 が うるさい 。,こうじ の おと が うるさい。,kouji no oto ga urusai.,The construction site is noisy.
工事,kouji,Verbal Noun,"construction, repairing",工事 は 3 月 まで 続きます 。,こうじ は 3 がつ まで つづきます。,kouji ha 3 gatsu made tsuzukimasu.,Construction will continue until March.
担当,tantou,Verbal Noun,being in charge (of official duties),私 は セールス を 担当 して います。,わたし は せーるす を たんとう して います。,watashi ha se-rusu wo tantou shite imasu.,I'm in charge of sales.
担当,tantou,Verbal Noun,being in charge (of official duties),家 で は 料理 は 私 の 担当 です 。,いえ で は りょうり は わたし の たんとう です。,ie de ha ryouri ha watashi no tantou desu.,At home I'm in charge of cooking.
法律,houritsu,Noun,law,新しい 法律 が できた 。,あたらしい ほうりつ が できた。,atarashii houritsu ga dekita.,A new law has been passed.
法律,houritsu,Noun,law,兄 は 法律 事務所 で 働いて います 。,あに は ほうりつ じむしょ で はたらいて います。,ani ha houritsu jimusho de hataraite imasu.,My older brother is working at a law firm.
丸,maru,Noun,"circle, round",紙 に 大きな 丸 を 描きました 。,かみ に おおきな まる を かきました。,kami ni ookina maru wo kakimashita.,I drew a big circle on the paper.
丸,maru,Noun,"circle, round",正しい 答え に 丸 を つけて ください 。,ただしい こたえ に まる を つけて ください。,tadashii kotae ni maru wo tsukete kudasai.,Please circle the correct answer.
発表,happyou,Verbal Noun,announcement,合格者 が 発表 された 。,ごうかくしゃ が はっぴょう された。,goukakusha ga happyou sareta.,They announced the names of those who passed (the test).
発表,happyou,Verbal Noun,announcement,重大な 発表 が あります 。,じゅうだいな はっぴょう が あります。,juudaina happyou ga arimasu.,I have an important announcement.
研究,kenkyuu,Verbal Noun,"research, study",彼 は 何年 も 地震 の 研究 を して いる 。,かれ は なんねん も じしん の けんきゅう を して いる。,kare ha nannen mo jishin no kenkyuu wo shite iru.,He's been researching earthquakes for many years.
研究,kenkyuu,Verbal Noun,"research, study",彼 は ロボット の 研究 を して います。,かれ は ろぼっと の けんきゅう を して います。,kare ha robotto no kenkyuu wo shite imasu.,He is doing research on robots.
一方,ippou,Adverb,"one way, the other party",ここ は 一方通行 です 。,ここ は いっぽうつうこう です。,koko ha ippoutsuukou desu.,This is a one-way street.
一方,ippou,Adverb,"one way, the other party",一方 の 意見 だけ 聞いて 判断 しないで ください 。,いっぽう の いけん だけ きいて はんだん しないで ください。,ippou no iken dake kiite handan shinaide kudasai.,Please don't judge by listening to only one side of the story.
国内,kokunai,Noun,"domestic, internal",この 携帯 電話 が 使える の は 国内 だけ です。,この けいたい でんわ が つかえる の は こくない だけ です。,kono keitai denwa ga tsukaeru no ha kokunai dake desu.,You can only make domestic calls on this cell-phone.
国内,kokunai,Noun,"domestic, internal",今年 は 国内 旅行 しか しません でした 。,ことし は こくない りょこう しか しません でした。,kotoshi ha kokunai ryokou shika shimasen deshita.,This year I only traveled within the country.
全体,zentai,Noun,"whole, total",全体 の 80 パーセント が 完成 しました 。,ぜんたい の 80 ぱーせんと が かんせい しました。,zentai no 80 pa-sento ga kansei shimashita.,80 percent of the total has been completed.
全体,zentai,Noun,"whole, total",それ について、  クラス 全体 で 話し合いました ,それ について、くらす ぜんたい で はなしあいました。,"sore nitsuite,kurasu zentai de hanashiaimashita.",We discussed it with the entire class.
後,nochi,Noun,"after, afterward (formal)",後に 彼 は 総理大臣 に なりました 。,のち に かれ は そうりだいじん に なりました。,nochi ni kare ha souridaijin ni narimashita.,He would later become Prime Minister.
後,nochi,Noun,"after, afterward (formal)",明日 は 曇り 後 雨 でしょう 。,あした は くもり のち あめ でしょう。,ashita ha kumori nochi ame deshou.,Tomorrow it will be cloudy and rainy afterward.
人間,ningen,Noun,human being,人間 の 心 は 複雑 です 。,にんげん の こころ は ふくざつ です。,ningen no kokoro ha fukuzatsu desu.,The human mind is complex.
人間,ningen,Noun,human being,人間 は 自然 に は 勝てません 。,にんげん は しぜん に は かてません。,ningen ha shizen ni ha katemasen.,Human beings cannot win against nature.
刺身,sashimi,Noun,sliced raw fish or meat,私 は 刺身 は 食べません 。,わたし は さしみ は たべません。,watashi ha sashimi ha tabemasen.,I don't eat sashimi.
刺身,sashimi,Noun,sliced raw fish or meat,母 が 色々な 魚 を 刺身 に しました 。,はは が いろいろな さかな を さしみ に しました。,haha ga iroirona sakana wo sashimi ni shimashita.,My mother sliced various types of raw fish.
ばら,bara,Noun,rose,お祝い に ばら の 花束 を 贈りました 。,おいわい に ばら の はなたば を おくりました。,oiwai ni bara no hanataba wo okurimashita.,I gave her a bouquet of roses for a celebration.
ばら,bara,Noun,rose,彼女 の 誕生日 に 真っ赤な ばら と 指輪 を あげました 。,かのじょ の たんじょうび に まっかな ばら と ゆびわ を あげました。,kanojo no tanjoubi ni makkana bara to yubiwa wo agemashita.,I gave my girlfriend bright red roses and a ring for her birthday.
ねずみ,nezumi,Noun,"rat, mouse",台所 に ねずみ が 出た 。,だいどころ に ねずみ が でた。,daidokoro ni nezumi ga deta.,A mouse came out in the kitchen.
ねずみ,nezumi,Noun,"rat, mouse",地下鉄 の ホーム で 大きな ねずみ を 見ました 。,ちかてつ の ほーむ で おおきな ねずみ を みました。,chikatetsu no ho-mu de ookina nezumi wo mimashita.,I saw a big rat at the subway platform.
以下,ika,Noun,below,数学 が 平均 点 以下 だった。,すうがく が へいきん てん いか だった。,suugaku ga heikin ten ika datta.,My math score was below average.
以下,ika,Noun,below,日本 で は 19 歳 以下 の 人 は お酒 を 飲めません 。,にほん で は 19 さい いか の ひと は おさけ を のめません。,nihon de ha 19 sai ika no hito ha osake wo nomemasen.,In Japan people under the age of 19 cannot drink alcohol.
昔,mukashi,Noun,"old times, the old days",昔 の こと を 思い出した の 。,むかし の こと を おもいだした の。,mukashi no koto wo omoidashita no.,I remembered the past.
昔,mukashi,Noun,"old times, the old days",彼 は 昔 は 貧乏 だった 。,かれ は むかし は びんぼう だった。,kare ha mukashi ha binbou datta.,He used to be poor.
訳,wake,Noun,"reason, sense",そんな 訳 で、私 は 仕事 を 辞めました。,そんな わけ で、わたし は しごと を やめました。,"sonna wake de,watashi ha shigoto wo yamemashita.",I quit my job for that reason.
訳,wake,Noun,"reason, sense",どうして も その 訳 を 知りたい 。,どうして も その わけ を しりたい。,doushite mo sono wake wo shiritai.,I really want to know the reason.
違い,chigai,Noun,"difference, mistake",この 二つ に は 大きな 違い が ある。,この ふたつ に は おおきな ちがい が ある。,kono futatsu ni ha ookina chigai ga aru.,There's a big difference between these two.
違い,chigai,Noun,"difference, mistake",イントネーション の 違い に 気を付けて 。,いんとねーしょん の ちがい に きをつけて。,intone-shon no chigai ni kiwotsukete.,Be careful about the difference in intonation.
しっかり,shikkari,Adverb,"mature, responsible",彼 は 若い のに しっかり してる ね。,かれ は わかい のに しっかり してる ね。,kare ha wakai noni shikkari shiteru ne.,He is responsible even though he is young.
しっかり,shikkari,Adverb,"mature, responsible",お兄さん なんだ から 、 もっと しっかり しなさい 。,おにいさん なんだ から、もっと しっかり しなさい。,"oniisan nanda kara,motto shikkari shinasai.","You are a big brother, so be more mature."
将来,shourai,Noun,"future, in the future",将来 は パイロット に なりたい です 。,しょうらい は ぱいろっと に なりたい です。,shourai ha pairotto ni naritai desu.,I want to become a pilot in the future.
将来,shourai,Noun,"future, in the future",私 は 子供 の 将来 が 心配 です 。,わたし は こども の しょうらい が しんぱい です。,watashi ha kodomo no shourai ga shinpai desu.,I'm worried about my child's future.
不思議,fushigi,Adjectival Noun,"mystery, wonder",それ は とても 不思議な 話 だ ね 。,それ は とても ふしぎな はなし だ ね。,sore ha totemo fushigina hanashi da ne.,It's a very mysterious story.
不思議,fushigi,Adjectival Noun,"mystery, wonder",ドア が 自然 に 開いた なんて 不思議 です ね 。,どあ が しぜん に あいた なんて ふしぎ です ね。,doa ga shizen ni aita nante fushigi desu ne.,It's a mystery how the door opened by itself.
決して,kesshite,Adverb,"never, by no means",この こと を 決して 忘れないで ください 。,この こと を けっして わすれないで ください。,kono koto wo kesshite wasurenaide kudasai.,Don't you ever forget this.
決して,kesshite,Adverb,"never, by no means",ご親切 は 決して 忘れません。,ごしんせつ は けっして わすれません。,goshinsetsu ha kesshite wasuremasen.,I will never forget your kindness.
失敗,shippai,Verbal Noun,"failure, mistake",一度 の 失敗 で あきらめて は いけない よ 。,いちど の しっぱい で あきらめて は いけない よ。,ichido no shippai de akiramete ha ikenai yo.,You shouldn't give up just because you've failed once.
失敗,shippai,Verbal Noun,"failure, mistake",失敗 は 成功 の 母 。,しっぱい は せいこう の はは。,shippai ha seikou no haha.,Failure is the mother of success.
番,ban,Noun,"one's turn, watch",今日 は 私 が 皿 を 洗う 番 です ね 。,きょう は わたし が さら を あらう ばん です ね。,kyou ha watashi ga sara wo arau ban desu ne.,It's my turn to do the dishes today.
番,ban,Noun,"one's turn, watch",次 は あなた の 番 です よ 。,つぎ は あなた の ばん です よ。,tsugi ha anata no ban desu yo.,Next is your turn.
出会う,deau,Verb,"meet, encounter",アメリカ で 彼女 と 出会いました 。,あめりか で かのじょ と であいました。,amerika de kanojo to deaimashita.,I met her in the United States.
出会う,deau,Verb,"meet, encounter",町なか で 彼女 に 出会った よ。,まちなか で かのじょ に であった よ。,machinaka de kanojo ni deatta yo.,I met her downtown.
悩む,nayamu,Verb,"be troubled, suffer",彼 は 受験 の こと で 悩んで います。,かれ は じゅけん の こと で なやんで います。,kare ha juken no koto de nayande imasu.,He's worried about entrance examinations.
悩む,nayamu,Verb,"be troubled, suffer",今度 の 夏休み 、 どこ に 行く か 悩む なあ 。,こんど の なつやすみ、どこ に いく か なやむ なあ。,"kondo no natsuyasumi,doko ni iku ka nayamu naa.",I'm having trouble deciding where to go this summer.
汗,ase,Noun,sweat,彼 は 額 に 汗 を かいて いた の 。,かれ は ひたい に あせ を かいて いた の。,kare ha hitai ni ase wo kaite ita no.,He was sweating from his forehead.
汗,ase,Noun,sweat,その 選手 は タオル で 汗 を 拭きました 。,その せんしゅ は たおる で あせ を ふきました。,sono senshu ha taoru de ase wo fukimashita.,The athlete wiped the sweat with a towel.
すっかり,sukkari,Adverb,"all, completely",買い物 を すっかり 忘れて いた。,かいもの を すっかり わすれて いた。,kaimono wo sukkari wasurete ita.,I completely forgot about the shopping.
すっかり,sukkari,Adverb,"all, completely",風邪 は すっかり 良く なりました 。,かぜ は すっかり よく なりました。,kaze ha sukkari yoku narimashita.,I've completely recovered from a cold.
代わり,kawari,Noun,"substitution, alternative",ごま油 の 代わり に オリーブ油 を 使いましょう 。,ごまあぶら の かわり に おりーぶゆ を つかいましょう。,gomaabura no kawari ni ori-buyu wo tsukaimashou.,Let's use olive oil instead of sesame.
代わり,kawari,Noun,"substitution, alternative",誰 も 母親 の 代わり は できません 。,だれ も ははおや の かわり は できません。,dare mo hahaoya no kawari ha dekimasen.,Nobody can substitute for one's mother.
一言,hitokoto,Noun,"single word, brief speech",社長 に 一言 お願い した の 。,しゃちょう に ひとこと おねがい した の。,shachou ni hitokoto onegai shita no.,I asked the president to deliver a brief speech.
一言,hitokoto,Noun,"single word, brief speech",最後 に 一言 言わせて ください 。,さいご に ひとこと いわせて ください。,saigo ni hitokoto iwasete kudasai.,Please let me get in one last word.
豊か,yutaka,Adjectival Noun,"rich, ample",彼 は 心 が 豊かな 人 です 。,かれ は こころ が ゆたかな ひと です。,kare ha kokoro ga yutakana hito desu.,He has a rich spirit.
豊か,yutaka,Adjectival Noun,"rich, ample",日本 は 本当 に 豊かな 国 なの でしょう か 。,にほん は ほんとう に ゆたかな くに なの でしょう か 。,nihon ha hontou ni yutakana kuni nano deshou ka .,Is Japan really a wealthy country?
接続,setsuzoku,Verbal Noun,"connection, joining",コンピューター を ネットワーク に 接続 しました 。,こんぴゅーたー を ねっとわーく に せつぞく しました。,konpyu-ta- wo nettowa-ku ni setsuzoku shimashita.,The computer has been connected with the network.
接続,setsuzoku,Verbal Noun,"connection, joining",地下鉄 の Wi-Fi は 接続 が 悪い です 。,ちかてつ の わいふぁい は せつぞく が わるい です。,chikatetsu no waifai ha setsuzoku ga warui desu.,The Wi-Fi connection in the subway is bad.
抱える,kakaeru,Verb,hold in one's arms,彼 は 大きな 荷物 を 抱えて いる わ。,かれ は おおきな にもつ を かかえて いる わ。,kare ha ookina nimotsu wo kakaete iru wa.,He is carrying some large luggage.
抱える,kakaeru,Verb,hold in one's arms,この 国 は 今 、 大きな 問題 を 抱えて います 。,この くに は いま、おおきな もんだい を かかえて います。,"kono kuni ha ima,ookina mondai wo kakaete imasu.",This country has a big problem now.
エンジン,enjin,Noun,engine,車 の エンジン が 調子 悪い 。,くるま の えんじん が ちょうし わるい。,kuruma no enjin ga choushi warui.,The car engine is in a bad condition.
エンジン,enjin,Noun,engine,その 飛行機 は エンジン から 火 が 出て いました 。,その ひこうき は えんじん から ひ が でて いました。,sono hikouki ha enjin kara hi ga dete imashita.,The engine from the airplane was on fire.
少女,shoujo,Noun,young girl,それ は 少女 向け の 雑誌 です 。,それ は しょうじょ むけ の ざっし です。,sore ha shoujo muke no zasshi desu.,It's a magazine for young girls.
少女,shoujo,Noun,young girl,少女 は 母親 の 手 を 握った 。,しょうじょ は ははおや の て を にぎった。,shoujo ha hahaoya no te wo nigitta.,The girl clasped her mother's hand.
無駄,muda,Adjectival Noun,"pointless, waste",それ は 時間 の 無駄 です 。,それ は じかん の むだ です。,sore ha jikan no muda desu.,It's a waste of time.
無駄,muda,Adjectival Noun,"pointless, waste",食べ物 を 無駄 に しないで ください 。,たべもの を むだ に しないで ください。,tabemono wo muda ni shinaide kudasai.,Please don't waste food.
自動,jidou,Noun,automatic operation,この ドア は 自動 よ 。,この どあ は じどう よ。,kono doa ha jidou yo.,This door is automatic.
自動,jidou,Noun,automatic operation,早く 自動 運転 の 車 が 欲しい です 。,はやく じどう うんてん の くるま が ほしい です。,hayaku jidou unten no kuruma ga hoshii desu.,I can't wait (to get a) a self-driving car.
先輩,senpai,Noun,"senior, superior",日本 人 は 先輩、後輩 の 関係 を とても 大切 に 考えます。,にっぽん じん は せんぱい、こうはい の かんけい を とても たいせつ に かんがえます。,"nippon jin ha senpai,kouhai no kankei wo totemo taisetsu ni kangaemasu.",Japanese people value the relationship between seniors and juniors.
先輩,senpai,Noun,"senior, superior",妻 は 会社 で 私 の 先輩 でした 。,つま は かいしゃ で わたし の せんぱい でした。,tsuma ha kaisha de watashi no senpai deshita.,My wife was my senior at work.
眺める,nagameru,Verb,"look out, gaze",猫 が 窓 から 外 を 眺めて いる よ。,ねこ が まど から そと を ながめて いる よ。,neko ga mado kara soto wo nagamete iru yo.,The cat is at the window looking outside.
眺める,nagameru,Verb,"look out, gaze",彼 は しばらく 海 を 眺めて いました 。,かれ は しばらく うみ を ながめて いました。,kare ha shibaraku umi wo nagamete imashita.,He was gazing at the ocean for a while.
書類,shorui,Noun,"documents, papers",書類 を 10 枚 コピー しました 。,しょるい を 10 まい こぴー しました。,shorui wo 10 mai kopi- shimashita.,I made ten copies of the document.
書類,shorui,Noun,"documents, papers",これ は 重要な 書類 です 。,これ は じゅうような しょるい です。,kore ha juuyouna shorui desu.,This is an important document.
年月,nengetsu,Noun,"years, period of time",その お寺 は 長い 年月 を かけて 建てられた 。,その おてら は ながい ねんげつ を かけて たてられた。,sono otera ha nagai nengetsu wo kakete taterareta.,The temple was built over a long period of time.
年月,nengetsu,Noun,"years, period of time",昔 の 写真 を 見る と 年月 を 感じます 。,むかし の しゃしん を みる と ねんげつ を かんじます。,mukashi no shashin wo miru to nengetsu wo kanjimasu.,"When looking at old pictures, I feel the passage of time."
燃やす,moyasu,Verb,burn (something),古い 手紙 を 燃やした ん だ。,ふるい てがみ を もやした ん だ。,furui tegami wo moyashita n da.,I burned some old letters.
燃やす,moyasu,Verb,burn (something),母 は 庭 で ごみ を 燃やしました 。,はは は にわ で ごみ を もやしました。,haha ha niwa de gomi wo moyashimashita.,My mother burned trash in the yard.
線路,senro,Noun,"railway track, line",子 猫 が 線路 に 迷い込んだ ぞ 。,こ ねこ が せんろ に まよいこんだ ぞ。,ko neko ga senro ni mayoikonda zo.,A kitten strayed onto the railway track.
線路,senro,Noun,"railway track, line",線路 に は 絶対 に 入らないで ください 。,せんろ に は ぜったい に はいらないで ください。,senro ni ha zettai ni hairanaide kudasai.,Please never enter the railway track.
水着,mizugi,Noun,"bathing suit, swimsuit",水着 に 着替えました 。,みずぎ に きがえました。,mizugi ni kigaemashita.,I changed into a swimsuit.
水着,mizugi,Noun,"bathing suit, swimsuit",妻 は ハワイ に 行く 前 に 新しい 水着 を 買いました 。,つま は はわい に いく まえ に あたらしい みずぎ を かいました。,tsuma ha hawai ni iku mae ni atarashii mizugi wo kaimashita.,My wife bought a new bathing suit before going to Hawaii.
可愛らしい,kawairashii,Adjective,"lovely, charming",彼女 は 娘 に 可愛らしい 服 を 作りました ね 。,かのじょ は むすめ に かわいらしい ふく を つくりました ね。,kanojo ha musume ni kawairashii fuku wo tsukurimashita ne.,She made some lovely clothes for her daughter.
可愛らしい,kawairashii,Adjective,"lovely, charming",娘 さん は 可愛らしい 顔 を して います ね 。,むすめ さん は かわいらしい かお を して います ね。,musume san ha kawairashii kao wo shite imasu ne.,Your daughter has a lovely face.
仲良し,nakayoshi,Noun,good friend,あの 3 人 組 は 仲良し です ね 。,あの 3 にん ぐみ は なかよし です ね。,ano 3 nin gumi ha nakayoshi desu ne.,Those three are good friends.
仲良し,nakayoshi,Noun,good friend,娘 は 仲良し グループ の 子 と しか 話しません 。,むすめ は なかよし ぐるーぷ の こ と しか はなしません。,musume ha nakayoshi guru-pu no ko to shika hanashimasen.,My daughter only talks with a group of good friends.
梅干し,umeboshi,Noun,pickled plum,うち で は、 朝食 に は 必ず 梅干し が 出ます。,うち で は、 ちょうしょく に は かならず うめぼし が でます。,"uchi de ha, choushoku ni ha kanarazu umeboshi ga demasu.",Pickled plums are always served for breakfast at my home.
梅干し,umeboshi,Noun,pickled plum,朝 ご飯 は 梅干し と ご飯 だけ で いい です 。,あさ ごはん は うめぼし と ごはん だけ で いい です。,asa gohan ha umeboshi to gohan dake de ii desu.,Just rice and a pickled plum will be good for breakfast.
ドレス,doresu,Noun,formal dress,彼女 は 紫 の ドレス を 着て いた。,かのじょ は むらさき の どれす を きて いた。,kanojo ha murasaki no doresu wo kite ita.,She wore a purple formal dress.
ドレス,doresu,Noun,formal dress,彼女 は 黒い ドレス を 着て います。,かのじょ は くろい どれす を きて います。,kanojo ha kuroi doresu wo kite imasu.,She's wearing a black formal dress.
尽くす,tsukusu,Verb,"make utmost efforts, devote to",彼女 は 夫 に 尽くして いる。,かのじょ は おっと に つくして いる。,kanojo ha otto ni tsukushite iru.,She is devoted to her husband.
尽くす,tsukusu,Verb,"make utmost efforts, devote to",私 は ベスト を 尽くしました 。,わたし は べすと を つくしました。,watashi ha besuto wo tsukushimashita.,I did my best.
地球,chikyuu,Noun,the earth,地球 は 丸い 。,ちきゅう は まるい。,chikyuu ha marui.,The earth is round.
地球,chikyuu,Noun,the earth,月 は 地球 の まわり を 回って います。,つき は ちきゅう の まわり を まわって います。,tsuki ha chikyuu no mawari wo mawatte imasu.,The moon spins around the earth.
不親切,fushinsetsu,Adjectival Noun,"unkind, inconsiderate",その 店員 は 不親切 だった 。,その てんいん は ふしんせつ だった。,sono tenin ha fushinsetsu datta.,That store clerk was unkind.
不親切,fushinsetsu,Adjectival Noun,"unkind, inconsiderate",あの 医者 は いつも 不親切 だ 。,あの いしゃ は いつも ふしんせつ だ。,ano isha ha itsumo fushinsetsu da.,That doctor is always unkind.
からから,karakara,Adjectival Noun,"very thirsty, very dry",おしゃべり して 喉 が からから に なりました 。,おしゃべり して のど が からから に なりました。,oshaberi shite nodo ga karakara ni narimashita.,My throat got dry from chatting.
からから,karakara,Adjectival Noun,"very thirsty, very dry",喉 が 渇いて からから です 。,のど が かわいて から から です。,nodo ga kawaite kara kara desu.,"I'm thirsty, and my throat is very dry."
本箱,honbako,Noun,bookcase,雑誌 を 本箱 に 入れました 。,ざっし を ほんばこ に いれました。,zasshi wo honbako ni iremashita.,I put the magazine in the bookcase.
本箱,honbako,Noun,bookcase,読んだ 本 は 本箱 に 仕舞って ください 。,よんだ ほん は ほんばこ に しまって ください。,yonda hon ha honbako ni shimatte kudasai.,Please put back the books you read in the bookcase.
横書き,yokogaki,Noun,horizontal writing,この 本 は 横書き です 。,この ほん は よこがき です。,kono hon ha yokogaki desu.,This book is printed horizontally.
横書き,yokogaki,Noun,horizontal writing,明日 、 横書き の ノート が 3 冊 必要 です 。,あした、よこがき の のーと が 3 さつ ひつよう です。,"ashita,yokogaki no no-to ga 3 satsu hitsuyou desu.",Tomorrow I need three notebooks with horizontal writing lines.
そば屋,sobaya,Noun,buckwheat noodle shop,昼 は そば 屋 に 行きました。,ひる は そば や に いきました。,hiru ha soba ya ni ikimashita.,I went to a noodle shop for lunch.
そば屋,sobaya,Noun,buckwheat noodle shop,私 は あの そば 屋 の 天ぷら そば が 大好き です 。,わたし は あの そば や の てんぷら そば が だいすき です。,watashi ha ano soba ya no tenpura soba ga daisuki desu.,I love the soba noodles with tempura at that noodle shop.
加工,kakou,Verbal Noun,"processing, editing (a photo, etc.)",この 工場 で は 魚 を 加工 して いる 。,この こうじょう で は さかな を かこう して いる。,kono koujou de ha sakana wo kakou shite iru.,This factory processes fish.
加工,kakou,Verbal Noun,"processing, editing (a photo, etc.)",この アプリ で 写真 を 加工 できます 。,この あぷり で しゃしん を かこう できます。,kono apuri de shashin wo kakou dekimasu.,You can edit photographs with this application.
実験,jikken,Verbal Noun,experiment,科学 の 授業 で 実験 を した 。,かがく の じゅぎょう で じっけん を した。,kagaku no jugyou de jikken wo shita.,We did an experiment in science class.
実験,jikken,Verbal Noun,experiment,ついに 実験 が 成功 した 。,ついに じっけん が せいこう した。,tsuini jikken ga seikou shita.,The experiment finally succeeded.
愛する,aisuru,Verb,"love, care for",私 は 家族 を 愛して います。,わたし は かぞく を あいして います。,watashi ha kazoku wo aishite imasu.,I love my family.
愛する,aisuru,Verb,"love, care for",私 は あの 人 を 愛して いません 。,わたし は あの ひと を あいして いません。,watashi ha ano hito wo aishite imasen.,I don't love that person.
あんまり,anmari,Adverb,"(not) that much, (not) so much",これ は あんまり 好き じゃ ない な 。,これ は あんまり すき じゃ ない な。,kore ha anmari suki ja nai na.,I don't like this very much.
あんまり,anmari,Adverb,"(not) that much, (not) so much",この ドラマ は あんまり 面白くない 。,この どらま は あんまり おもしろくない。,kono dorama ha anmari omoshirokunai.,This drama isn't so interesting.
いきなり,ikinari,Adverb,"all of a sudden, abruptly",後ろ から いきなり 肩 を たたかれた 。,うしろ から いきなり かた を たたかれた。,ushiro kara ikinari kata wo tatakareta.,Someone tapped on my shoulder from behind all of a sudden.
いきなり,ikinari,Adverb,"all of a sudden, abruptly",知らない 人 から いきなり メール が 来て 驚きました 。,しらない ひと から いきなり めーる が きて おどろきました。,shiranai hito kara ikinari me-ru ga kite odorokimashita.,I was surprised to get an e-mail from a stranger.
表,omote,Noun,"front, outside",表 に 人 が 来て います。,おもて に ひと が きて います。,omote ni hito ga kite imasu.,There's someone at the front door.
表,omote,Noun,"front, outside",表 に 救急車 が 止まって います 。,おもて に きゅうきゅうしゃ が とまって います。,omote ni kyuukyuusha ga tomatte imasu.,An ambulance is parked outside.
汚れ,yogore,Noun,"dirt, blot",靴 の 汚れ を 落としました 。,くつ の よごれ を おとしました。,kutsu no yogore wo otoshimashita.,I cleaned the dirt off the shoes.
汚れ,yogore,Noun,"dirt, blot",この 汚れ は なかなか 落ちません 。,この よごれ は なかなか おちません。,kono yogore ha nakanaka ochimasen.,This dirt doesn't come off easily.
間,aida,Noun,"interval, space between things",雲 の 間 から 月 が 出た 。,くも の あいだ から つき が でた。,kumo no aida kara tsuki ga deta.,The moon came out from between the clouds.
間,aida,Noun,"interval, space between things",その 犬 は 木 と 木 の 間 に 隠れて いました 。,その いぬ は き と き の あいだ に かくれて いました。,sono inu ha ki to ki no aida ni kakurete imashita.,The dog was hiding among the trees.
紫,murasaki,Noun,purple,彼女 は 紫 の ドレス を 着て いた。,かのじょ は むらさき の どれす を きて いた。,kanojo ha murasaki no doresu wo kite ita.,She wore a purple dress.
紫,murasaki,Noun,purple,私 は 紫 の 車 が 欲しい が 、 妻 が 反対 して いる 。,わたし は むらさき の くるま が ほしい が、つま が はんたい して いる。,"watashi ha murasaki no kuruma ga hoshii ga,tsuma ga hantai shite iru.","I want a purple car, but my wife is against that."
灰色,haiiro,Noun,"ash color, gray",今日 の 空 は 灰色 だ 。,きょう の そら は はいいろ だ。,kyou no sora ha haiiro da.,The sky's gray today.
灰色,haiiro,Noun,"ash color, gray",今日 は 灰色 の スーツ を 選びました 。,きょう は はいいろ の すーつ を えらびました。,kyou ha haiiro no su-tsu wo erabimashita.,Today I chose a gray suit.
血,chi,Noun,blood (colloquial),血 が 出て います よ。,ち が でて います よ。,chi ga dete imasu yo.,You're bleeding.
血,chi,Noun,blood (colloquial),彼 は 血 を 見て 驚いた 。,かれ は ち を みて おどろいた。,kare ha chi wo mite odoroita.,He was surprised to see blood.
顎,ago,Noun,"jaw, chin",顎 が 痛い 。,あご が いたい。,ago ga itai.,My jaw hurts.
顎,ago,Noun,"jaw, chin",顎 に ごはん が 付いて います よ 。,あご に ごはん が ついて います よ 。,ago ni gohan ga tsuite imasu yo .,You've got (a grain of) rice on your chin.
始めに,hajimeni,Adverb,in the beginning,始め に スープ が 出ます。,はじめ に すーぷ が でます。,hajime ni su-pu ga demasu.,Soup will be served in the beginning.
始めに,hajimeni,Adverb,in the beginning,始め に 会長 が 挨拶 した。,はじめ に かいちょう が あいさつ した。,hajime ni kaichou ga aisatsu shita.,First was the president's greeting.
暖まる,atatamaru,Verb,"get warm (air, atmosphere, etc.)",まだ 部屋 が 暖まらない 。,まだ へや が あたたまらない。,mada heya ga atatamaranai.,The room hasn't warmed up yet.
暖まる,atatamaru,Verb,"get warm (air, atmosphere, etc.)",早く お風呂 に 入って 暖まりたい 。,はやく おふろ に はいって あたたまりたい。,hayaku ofuro ni haitte atatamaritai.,I can't wait to take a bath and warm up.
お世辞,oseji,Noun,"compliment, flattery",彼 は お世辞 を 言う の が 上手い。,かれ は おせじ を いう の が うまい。,kare ha oseji wo iu no ga umai.,He is good at flattering people.
お世辞,oseji,Noun,"compliment, flattery",うち の 子 は お世辞 に も 絵 が 上手い と は 言えません 。,うち の こ は おせじ に も え が うまい と は いえません。,uchi no ko ha oseji ni mo e ga umai to ha iemasen.,We cannot say that our child is good at drawing even as a compliment.
袋,fukuro,Noun,"bag, sack",袋 は 要りません 。,ふくろ は いりません。,fukuro ha irimasen.,I don't need a bag.
袋,fukuro,Noun,"bag, sack",お菓子 を 入れる 袋 を 持って きて ください 。,おかし を いれる ふくろ を もって きて ください。,okashi wo ireru fukuro wo motte kite kudasai.,Please bring a bag to put snack in.
長袖,nagasode,Noun,long sleeves,今日 は 寒い ので 長袖 を 着ました 。,きょう は さむい ので ながそで を きました。,kyou ha samui node nagasode wo kimashita.,I put on a long-sleeved shirt because it's cold today.
